Condition,SourceEntity,Permission,Target
Time==09:00-17:00,Group1,Full_Control,Datastore28
IpAddress==192.168.1.1,User8,Part_Of,Group1
Time==09:00-17:00,Role5,Full_Control,Datastore10
Time==09:00-17:00,Role10,Read,Datastore3
,Role12,Read,Datastore10
Time==09:00-17:00,Group2,Execute,Datastore9
,User6,Part_Of,Group2
Time==09:00-17:00,User10,Part_Of,Group1
IpAddress==192.168.1.1,User6,Execute,Datastore15
,Role9,Read,Datastore11
IpAddress==192.168.1.1,Role13,Execute,Datastore11
,User7,Full_Control,Compute30
,User11,Assume_Role,Role15
Time==09:00-17:00,User4,Part_Of,Group2
,User6,Assume_Role,Role8
,User1,Part_Of,Group1
Time==09:00-17:00,Role13,Execute,Compute22
Time==09:00-17:00,Group2,Execute,Datastore13
Time==09:00-17:00,User11,Part_Of,Group1
IpAddress==192.168.1.1,User2,Assume_Role,Role10
Time==09:00-17:00,Role2,Full_Control,Datastore1
Time==09:00-17:00,Role4,Read,Compute30
,User3,Part_Of,Group2
,Role7,Execute,Datastore11
,Role17,Full_Control,Datastore12
,User8,Read,Datastore29
,User9,Part_Of,Group1
,User5,Part_Of,Group2
Time==09:00-17:00,Role10,Execute,Datastore10
,User9,Assume_Role,Role15
,User8,Full_Control,Datastore3
,Role6,Read,Compute8
IpAddress==192.168.1.1,User8,Read,Datastore3
Time==09:00-17:00,Role4,Full_Control,Compute8
Time==09:00-17:00,User9,Part_Of,Group1
,User8,Part_Of,Group2
IpAddress==192.168.1.1,User4,Execute,Compute22
Time==09:00-17:00,User8,Assume_Role,Role2
,User2,Full_Control,Datastore13
,User7,Execute,Datastore7
,User5,Part_Of,Group2
,Role2,Read,Datastore26
,User3,Write,Compute30
IpAddress==192.168.1.1,User8,Assume_Role,Role7
IpAddress==192.168.1.1,User6,Read,Datastore13
Time==09:00-17:00,User5,Assume_Role,Role14
,User4,Part_Of,Group2
Time==09:00-17:00,Role6,Read,Compute24
Time==09:00-17:00,User1,Part_Of,Group2
,User2,Read,Datastore17
IpAddress==192.168.1.1,Role7,Write,Datastore3
Time==09:00-17:00,Role16,Write,Compute19
Time==09:00-17:00,Role7,Execute,Datastore3
,User4,Assume_Role,Role11
IpAddress==192.168.1.1,User3,Assume_Role,Role10
Time==09:00-17:00,User1,Part_Of,Group2
Time==09:00-17:00,User3,Write,Compute18
,User6,Part_Of,Group1
Time==09:00-17:00,User3,Assume_Role,Role15
Time==09:00-17:00,User11,Part_Of,Group2
,Role16,Full_Control,Datastore5
IpAddress==192.168.1.1,Role11,Write,Compute18
Time==09:00-17:00,User6,Part_Of,Group1
,User5,Assume_Role,Role2
IpAddress==192.168.1.1,User1,Assume_Role,Role1
Time==09:00-17:00,Role8,Write,Datastore9
,User9,Assume_Role,Role1
Time==09:00-17:00,Role16,Write,Compute23
IpAddress==192.168.1.1,Role14,Write,Datastore12
,User2,Full_Control,Datastore10
Time==09:00-17:00,User11,Part_Of,Group1
Time==09:00-17:00,Group1,Execute,Datastore25
,Role17,Write,Compute30
,Role16,Read,Datastore14
IpAddress==192.168.1.1,Group2,Assume_Role,Role8
IpAddress==192.168.1.1,Role13,Read,Compute23
,Role15,Write,Compute16
,User5,Assume_Role,Role8
IpAddress==192.168.1.1,Role9,Execute,Datastore7
Time==09:00-17:00,User5,Part_Of,Group2
IpAddress==192.168.1.1,User1,Assume_Role,Role4
,Role6,Read,Datastore9
IpAddress==192.168.1.1,Group1,Assume_Role,Role11
IpAddress==192.168.1.1,Group2,Write,Datastore29
Time==09:00-17:00,Role10,Read,Datastore14
Time==09:00-17:00,Group1,Read,Datastore14
Time==09:00-17:00,User11,Assume_Role,Role4
IpAddress==192.168.1.1,User11,Assume_Role,Role14
,User9,Assume_Role,Role5
Time==09:00-17:00,User11,Assume_Role,Role6
IpAddress==192.168.1.1,User9,Assume_Role,Role1
IpAddress==192.168.1.1,User7,Part_Of,Group2
Time==09:00-17:00,User11,Assume_Role,Role7
IpAddress==192.168.1.1,User11,Part_Of,Group1
,User4,Part_Of,Group2
,User5,Read,Datastore1
Time==09:00-17:00,User8,Part_Of,Group2
IpAddress==192.168.1.1,Role10,Execute,Compute23
,User3,Part_Of,Group1
,User3,Part_Of,Group2
