Condition,SourceEntity,Permission,Target
IpAddress==192.168.1.1,Role154,Write,Datastore299
,User22,Full_Control,Datastore158
Time==09:00-17:00,User22,Part_Of,Group2
Time==09:00-17:00,Role146,Execute,Compute287
IpAddress==192.168.1.1,Role86,Write,Compute84
Time==09:00-17:00,Role56,Execute,Compute171
IpAddress==192.168.1.1,Role101,Read,Datastore82
IpAddress==192.168.1.1,Role205,Write,Datastore114
,User15,Assume_Role,Role115
,Role169,Full_Control,Datastore169
Time==09:00-17:00,Group4,Assume_Role,Role205
,User4,Part_Of,Group3
IpAddress==192.168.1.1,User4,Part_Of,Group5
,User28,Assume_Role,Role262
Time==09:00-17:00,User9,Part_Of,Group1
Time==09:00-17:00,User17,Part_Of,Group7
Time==09:00-17:00,Role151,Read,Compute221
Time==09:00-17:00,User8,Assume_Role,Role154
Time==09:00-17:00,User21,Assume_Role,Role207
Time==09:00-17:00,User7,Part_Of,Group4
IpAddress==192.168.1.1,User20,Part_Of,Group5
,User10,Part_Of,Group3
IpAddress==192.168.1.1,Group1,Assume_Role,Role227
Time==09:00-17:00,Role226,Write,Compute243
,Role110,Full_Control,Compute264
,Role123,Write,Datastore116
Time==09:00-17:00,User24,Execute,Compute126
Time==09:00-17:00,Role198,Write,Compute213
,User26,Assume_Role,Role125
,Role19,Write,Compute218
,User18,Part_Of,Group2
Time==09:00-17:00,User26,Part_Of,Group4
Time==09:00-17:00,Group4,Assume_Role,Role219
IpAddress==192.168.1.1,User24,Part_Of,Group7
Time==09:00-17:00,User16,Assume_Role,Role142
,User9,Part_Of,Group4
IpAddress==192.168.1.1,User9,Part_Of,Group3
IpAddress==192.168.1.1,Role35,Write,Compute78
IpAddress==192.168.1.1,Role74,Execute,Compute33
,User27,Assume_Role,Role32
IpAddress==192.168.1.1,User2,Assume_Role,Role195
IpAddress==192.168.1.1,Role145,Execute,Datastore153
IpAddress==192.168.1.1,Role214,Full_Control,Datastore113
Time==09:00-17:00,User13,Part_Of,Group3
,User27,Part_Of,Group4
,Role166,Read,Datastore289
,User28,Part_Of,Group4
,Role98,Full_Control,Datastore195
IpAddress==192.168.1.1,User22,Assume_Role,Role195
,User6,Assume_Role,Role241
Time==09:00-17:00,Role144,Read,Compute115
,User16,Write,Datastore127
Time==09:00-17:00,Role87,Execute,Datastore65
Time==09:00-17:00,Role253,Execute,Compute112
,User11,Assume_Role,Role59
IpAddress==192.168.1.1,User19,Part_Of,Group1
Time==09:00-17:00,User13,Assume_Role,Role39
Time==09:00-17:00,Role17,Read,Datastore155
Time==09:00-17:00,Role142,Execute,Compute273
IpAddress==192.168.1.1,User17,Part_Of,Group6
IpAddress==192.168.1.1,Role180,Read,Compute251
,User10,Assume_Role,Role223
Time==09:00-17:00,Group1,Assume_Role,Role224
IpAddress==192.168.1.1,User16,Assume_Role,Role45
Time==09:00-17:00,User25,Part_Of,Group4
IpAddress==192.168.1.1,User2,Assume_Role,Role254
IpAddress==192.168.1.1,Role214,Full_Control,Datastore109
Time==09:00-17:00,User18,Assume_Role,Role6
IpAddress==192.168.1.1,Role8,Execute,Datastore124
,Role208,Execute,Compute252
Time==09:00-17:00,Role115,Execute,Datastore114
IpAddress==192.168.1.1,Role121,Full_Control,Datastore298
IpAddress==192.168.1.1,Group7,Assume_Role,Role170
,User20,Assume_Role,Role129
Time==09:00-17:00,Role63,Read,Datastore162
IpAddress==192.168.1.1,Role63,Execute,Datastore111
IpAddress==192.168.1.1,User27,Part_Of,Group2
,Role149,Full_Control,Datastore92
Time==09:00-17:00,Role105,Read,Datastore24
IpAddress==192.168.1.1,User21,Part_Of,Group7
IpAddress==192.168.1.1,User7,Full_Control,Datastore294
,User22,Assume_Role,Role95
IpAddress==192.168.1.1,User8,Assume_Role,Role34
Time==09:00-17:00,User19,Part_Of,Group6
,Role42,Full_Control,Compute77
Time==09:00-17:00,Role25,Execute,Datastore286
